student_id,age,gender,department,semester,study_hours_per_week,attendance_percentage,assignment_average,midterm_score,previous_gpa,internet_access,extra_academic_support,part_time_job,extracurricular_hours_per_week,absences,final_score,at_risk,risk_label,data_origin
STU1108,22,Male,Computer Science,8,20.3,79.1,70.1,99.0,2.92,No,Yes,No,7.6,6,83.0,0,Not At Risk,Original
STU1109,20,Female,Business,3,13.4,76.2,58.5,66.1,3.52,Yes,Yes,Yes,8.1,1,86.0,0,Not At Risk,Original
STU1110,22,Male,Business,3,9.6,77.6,75.3,46.8,1.6,No,No,No,4.7,3,60.2,1,At Risk,Original
STU1111,19,Female,Computer Science,5,11.5,60.7,44.7,46.8,4.0,Yes,No,Yes,0.0,8,66.2,0,Not At Risk,Original
STU1112,23,Female,Engineering,6,15.0,66.4,40.2,78.6,2.6,Yes,No,No,4.6,8,59.0,0,Not At Risk,Original
STU1113,21,Female,Engineering,8,12.1,76.2,89.2,66.1,2.93,Yes,No,No,6.4,5,67.9,0,Not At Risk,Original
STU1114,20,Female,Business,1,16.4,76.0,82.7,80.2,3.18,Yes,Yes,No,4.1,3,79.6,0,Not At Risk,Original
STU1115,21,Male,Social Sciences,2,16.6,71.2,55.3,59.0,3.27,No,No,Yes,4.0,6,63.9,0,Not At Risk,Original
STU1116,21,Female,Computer Science,3,18.4,75.9,70.0,79.5,3.01,No,Yes,Yes,1.6,3,72.2,0,Not At Risk,Original
STU1117,17,Female,Computer Science,3,21.1,78.7,84.3,64.6,3.43,Yes,Yes,No,1.5,4,76.2,0,Not At Risk,Original
STU1118,18,Male,Engineering,4,19.0,88.7,75.9,56.0,3.15,No,No,No,10.0,6,74.9,1,At Risk,Original
STU1119,18,Male,Social Sciences,7,9.3,76.8,72.1,61.0,3.87,Yes,No,No,10.1,4,69.4,0,Not At Risk,Original
STU1120,17,Male,Computer Science,1,9.5,82.8,85.3,49.0,3.15,Yes,No,Yes,4.5,5,61.2,0,Not At Risk,Original
STU1121,20,Female,Computer Science,7,13.6,71.5,59.8,96.8,3.99,Yes,No,No,5.3,5,75.4,0,Not At Risk,Original
STU1122,22,Male,Business,5,11.7,84.9,70.4,65.6,3.37,Yes,No,Yes,1.6,5,72.2,0,Not At Risk,Original
STU1123,22,Female,Social Sciences,5,8.3,82.5,69.8,76.7,1.8,Yes,No,No,6.4,3,60.7,0,Not At Risk,Original
STU1124,20,Male,Computer Science,6,11.8,88.4,66.2,58.9,4.0,Yes,Yes,No,9.8,6,76.4,0,Not At Risk,Original
STU1125,23,Female,Business,1,11.6,86.6,64.5,51.2,2.52,Yes,No,No,0.0,6,67.1,0,Not At Risk,Original
STU1126,21,Male,Engineering,6,10.6,85.1,71.0,63.5,3.72,Yes,No,No,5.9,6,78.7,0,Not At Risk,Original
STU1127,17,Female,Business,2,12.4,76.8,70.5,83.5,2.87,Yes,No,No,6.1,6,69.6,0,Not At Risk,Original
STU1128,23,Male,Computer Science,5,19.9,80.9,55.3,59.2,3.47,Yes,No,No,6.1,8,62.8,0,Not At Risk,Original
STU1129,21,Female,Computer Science,6,15.0,90.8,81.2,53.9,2.45,Yes,Yes,No,9.4,4,69.2,0,Not At Risk,Original
STU1130,22,Female,Business,5,26.4,70.2,56.3,69.3,3.21,Yes,No,No,10.6,7,75.7,0,Not At Risk,Original
STU1131,21,Female,Business,3,14.9,70.5,66.9,74.5,2.7,Yes,No,No,3.8,4,75.3,0,Not At Risk,Original
STU1132,21,Female,Social Sciences,4,12.5,80.2,65.9,91.6,3.77,Yes,No,No,6.5,5,83.9,0,Not At Risk,Original
STU1133,17,Male,Engineering,4,14.0,83.0,75.0,72.3,3.1,Yes,No,No,4.8,6,82.0,0,Not At Risk,Original
STU1134,21,Male,Engineering,1,15.3,68.1,40.3,76.7,3.39,Yes,No,No,2.6,7,76.9,0,Not At Risk,Original
STU1135,23,Male,Social Sciences,6,16.2,77.1,82.5,77.8,1.59,Yes,Yes,No,5.3,4,67.6,0,Not At Risk,Original
STU1136,19,Male,Business,1,24.4,76.9,60.5,49.7,2.8,Yes,No,Yes,6.5,6,74.3,0,Not At Risk,Original
STU1137,21,Female,Business,4,9.8,51.4,87.1,52.6,3.09,No,No,Yes,5.2,11,56.3,1,At Risk,Original
STU1138,17,Female,Social Sciences,6,18.3,75.4,63.3,50.7,2.98,Yes,Yes,No,1.9,4,75.0,0,Not At Risk,Original
STU1139,19,Female,Computer Science,1,15.0,76.1,69.3,47.0,3.41,No,No,No,3.1,1,74.0,0,Not At Risk,Original
STU1140,20,Female,Engineering,8,6.1,76.1,96.8,78.9,2.64,No,No,No,3.1,5,61.4,0,Not At Risk,Original
STU1141,24,Female,Engineering,4,17.9,95.0,66.1,71.4,2.88,Yes,No,No,2.0,5,70.7,0,Not At Risk,Original
STU1142,18,Female,Computer Science,1,20.3,63.4,87.3,68.2,3.54,Yes,No,No,5.4,12,66.4,0,Not At Risk,Original
STU1143,19,Male,Business,6,9.7,68.1,70.5,28.1,1.53,Yes,No,Yes,5.8,9,34.6,1,At Risk,Original
STU1144,20,Male,Computer Science,5,14.0,46.7,75.8,97.8,3.19,Yes,Yes,No,7.4,12,76.4,1,At Risk,Original
STU1145,24,Female,Computer Science,6,5.4,72.2,71.0,53.6,2.66,Yes,No,No,1.9,5,73.7,0,Not At Risk,Original
STU1146,23,Female,Business,7,7.7,73.3,81.9,97.8,2.32,No,No,No,2.8,5,70.5,0,Not At Risk,Original
STU1147,17,Male,Computer Science,4,19.2,71.9,60.4,45.3,3.05,Yes,No,No,9.2,2,72.1,0,Not At Risk,Original
STU1148,18,Male,Engineering,7,11.7,91.3,56.2,54.8,3.56,Yes,No,Yes,4.0,3,80.4,0,Not At Risk,Original
STU1149,23,Female,Social Sciences,3,8.5,88.3,61.1,34.0,3.45,Yes,Yes,Yes,4.6,2,68.6,0,Not At Risk,Original
STU1150,17,Male,Social Sciences,5,15.1,78.9,71.4,72.4,2.77,Yes,No,No,4.0,0,75.8,0,Not At Risk,Original
STU1151,23,Male,Computer Science,2,11.4,73.6,66.9,50.5,3.36,Yes,Yes,No,7.9,7,66.0,0,Not At Risk,Original
STU1152,19,Female,Computer Science,5,11.6,90.3,79.9,50.9,3.35,No,No,Yes,8.0,7,72.6,0,Not At Risk,Original
STU1153,24,Female,Computer Science,3,17.7,77.8,88.3,46.4,2.8,Yes,No,No,7.8,4,76.2,0,Not At Risk,Original
STU1154,19,Male,Computer Science,6,8.2,68.2,56.3,78.7,2.45,Yes,No,No,4.6,2,68.4,0,Not At Risk,Original
STU1155,20,Female,Social Sciences,7,9.5,57.4,59.7,77.7,2.48,Yes,No,No,1.9,8,62.7,1,At Risk,Original
STU1156,22,Male,Business,7,14.8,72.7,49.9,94.2,3.34,Yes,No,No,10.3,5,75.1,0,Not At Risk,Original
STU1157,18,Female,Computer Science,8,18.8,87.1,98.4,56.7,2.83,Yes,Yes,No,7.1,2,72.4,0,Not At Risk,Original
STU1158,21,Male,Social Sciences,1,20.2,100.0,74.3,70.3,2.24,Yes,No,Yes,3.1,9,76.7,0,Not At Risk,Original
STU1159,21,Female,Business,2,10.7,78.7,76.7,47.7,1.87,Yes,Yes,Yes,8.8,6,52.2,1,At Risk,Original
STU1160,23,Male,Computer Science,8,18.7,68.8,51.2,62.0,3.33,Yes,No,No,2.9,4,72.4,0,Not At Risk,Original
STU1161,24,Male,Computer Science,4,10.1,63.8,70.0,59.2,2.53,No,No,No,8.7,8,62.1,0,Not At Risk,Original
STU1162,22,Female,Engineering,1,23.1,84.6,77.1,74.0,3.04,Yes,No,No,8.9,6,72.7,0,Not At Risk,Original
STU1163,20,Male,Engineering,3,8.3,56.8,66.5,82.3,3.57,Yes,Yes,Yes,1.7,10,65.2,1,At Risk,Original
STU1164,20,Male,Computer Science,7,20.6,84.6,85.1,81.9,2.09,Yes,No,No,6.2,1,91.4,0,Not At Risk,Original
STU1165,20,Male,Social Sciences,3,10.7,87.8,100.0,54.4,2.82,No,No,No,6.8,6,71.6,0,Not At Risk,Original
STU1166,23,Female,Social Sciences,1,24.1,83.2,56.7,82.0,2.75,Yes,No,No,12.3,8,66.5,0,Not At Risk,Original
STU1167,19,Female,Social Sciences,6,17.0,75.4,55.7,66.3,3.07,Yes,Yes,No,2.3,6,74.6,0,Not At Risk,Original
STU1168,18,Female,Computer Science,2,8.9,84.8,57.7,62.1,3.57,Yes,Yes,Yes,8.8,4,68.0,0,Not At Risk,Original
STU1169,19,Male,Computer Science,3,11.4,80.1,92.5,56.4,2.08,Yes,No,No,4.6,3,57.8,0,Not At Risk,Original
STU1170,17,Male,Social Sciences,1,17.9,68.7,84.6,58.6,3.18,Yes,Yes,No,0.8,6,77.0,1,At Risk,Original
STU1171,17,Male,Computer Science,5,19.3,100.0,68.1,93.1,3.45,Yes,No,No,4.1,6,81.5,0,Not At Risk,Original
STU1172,17,Female,Engineering,4,13.6,73.8,70.5,71.6,2.74,Yes,No,No,4.5,1,74.8,0,Not At Risk,Original
STU1173,23,Female,Engineering,7,14.2,87.3,58.6,69.6,2.77,Yes,Yes,No,1.3,4,67.9,0,Not At Risk,Original
STU1174,22,Female,Computer Science,3,17.8,49.0,82.5,63.1,3.09,Yes,No,Yes,5.4,11,67.8,1,At Risk,Original
STU1175,22,Female,Engineering,2,14.7,93.3,64.7,100.0,3.05,Yes,No,No,7.4,3,85.1,0,Not At Risk,Original
STU1176,20,Male,Social Sciences,2,7.5,95.6,66.4,86.6,3.19,Yes,Yes,No,5.2,6,64.4,0,Not At Risk,Original
STU1177,22,Female,Engineering,2,9.9,78.4,78.5,56.2,3.18,Yes,No,No,2.9,3,74.3,0,Not At Risk,Original
STU1178,18,Male,Business,4,15.2,84.7,67.4,62.9,2.28,Yes,Yes,No,4.1,2,69.1,1,At Risk,Original
STU1179,24,Male,Social Sciences,1,20.1,84.7,66.7,63.8,3.42,Yes,No,No,4.5,4,85.4,0,Not At Risk,Original
STU1180,21,Male,Business,4,22.1,70.3,70.1,69.2,3.53,Yes,No,No,5.2,3,80.7,0,Not At Risk,Original
STU1181,24,Male,Engineering,7,17.9,84.6,81.1,56.5,2.96,Yes,No,Yes,7.8,2,79.6,0,Not At Risk,Original
STU1182,18,Male,Social Sciences,7,15.4,68.3,93.1,73.6,1.98,Yes,No,No,5.3,6,65.1,0,Not At Risk,Original
STU1183,20,Male,Engineering,6,17.7,70.7,78.2,88.8,2.78,No,No,Yes,0.3,7,68.1,0,Not At Risk,Original
STU1184,22,Male,Computer Science,8,10.7,91.5,81.2,47.3,2.96,No,Yes,Yes,2.8,7,67.5,0,Not At Risk,Original
STU1185,20,Female,Computer Science,7,13.2,89.7,67.2,50.1,2.19,Yes,No,No,5.0,6,60.9,0,Not At Risk,Original
STU1186,20,Male,Computer Science,6,9.9,69.5,60.1,59.8,2.64,Yes,Yes,No,7.9,5,71.0,0,Not At Risk,Original
STU1187,18,Male,Business,7,7.8,69.2,79.2,60.4,2.03,Yes,No,No,8.4,2,62.7,0,Not At Risk,Original
STU1188,20,Female,Business,1,15.7,70.3,72.4,97.0,3.2,Yes,Yes,No,9.8,6,73.6,0,Not At Risk,Original
STU1189,18,Female,Engineering,7,14.9,86.8,50.1,82.0,2.95,Yes,No,No,4.9,3,69.6,1,At Risk,Original
STU1190,19,Female,Business,3,17.4,66.0,65.4,81.2,1.9,No,No,No,6.8,3,70.3,0,Not At Risk,Original
STU1191,22,Male,Engineering,6,16.7,82.3,68.8,63.0,3.05,No,No,No,0.1,4,70.3,0,Not At Risk,Original
STU1192,22,Female,Social Sciences,8,15.2,87.0,62.9,62.7,2.82,Yes,No,No,5.8,3,70.4,0,Not At Risk,Original
STU1193,21,Male,Computer Science,4,16.8,76.9,90.7,45.2,3.15,Yes,Yes,No,1.3,8,77.9,0,Not At Risk,Original
STU1194,19,Male,Engineering,1,13.8,90.1,76.7,78.7,2.62,Yes,No,No,4.3,7,69.4,0,Not At Risk,Original
STU1195,24,Female,Engineering,3,16.1,74.3,89.2,74.4,2.39,Yes,Yes,No,13.6,11,57.9,0,Not At Risk,Original
STU1196,17,Female,Business,4,10.4,75.4,73.7,86.3,2.4,Yes,Yes,Yes,5.4,1,69.8,0,Not At Risk,Original
STU1197,19,Female,Computer Science,8,15.8,66.3,71.1,63.8,2.54,No,No,No,1.9,9,62.5,0,Not At Risk,Original
STU1198,17,Female,Engineering,8,17.3,90.2,56.9,64.9,2.86,Yes,No,Yes,5.7,4,69.5,0,Not At Risk,Original
STU1199,19,Female,Social Sciences,5,10.7,68.8,70.2,69.6,2.94,Yes,No,Yes,2.9,3,60.3,0,Not At Risk,Original
STU1200,24,Male,Engineering,8,14.3,82.2,70.2,80.4,2.74,Yes,No,Yes,1.6,4,79.9,0,Not At Risk,Original
STU1201,19,Male,Social Sciences,4,10.9,77.1,50.9,44.9,2.6,Yes,Yes,Yes,10.8,1,62.3,0,Not At Risk,Original
STU1202,24,Male,Social Sciences,4,11.4,65.4,62.4,78.0,2.65,Yes,Yes,No,7.7,6,69.6,0,Not At Risk,Original
STU1203,20,Male,Business,7,8.4,70.7,65.5,66.7,4.0,Yes,No,No,5.5,5,76.0,1,At Risk,Original
